"X.Comedy.","X.Fantasy.","X.Drama.","X.Crime.","X.Family.","X.History.","X.Mystery.","X.Horror.","X.Adventure.","X.Romance.","X.Sci.Fi.","X.Thriller.","X.Animation.","X.Music.","X.Musical.","X.Biography."
"Comedy","Fantasy","Drama","Crime","Family","History","Mystery","Horror","Adventure","Romance","Sci-Fi","Thriller","Animation","Music","Musical","Biography"
"339","162","429","191","108","35","109","81","281","161","196","316","71","21","17","46"
"309","129","412","97","103","28","78","114","131","229","104","185","40","32","26","42"
